"id_curso","nome_curso","carga_horaria","modulo_curso","valor"
3,ACCESS AVANÇADO,"18:00:00",AVANÇADO,600.0
4,ACCESS BÁSICO,"16:00:00",BÁSICO + INTERMEDIÁRIO ,
5,AUTOCAD 2D,"20:00:00",AUTOCAD 2D,
6,BANCO DE DADOS - SQL,"20:00:00",BÁSICO + INTERMEDIÁRIO ,
7,COMPUTAÇÃO GRÁFICA,"64:00:00",CORELDRAW + PHOTOSHOP + INDESING,
8,CONSULTORIA ,"10:00:00",CONSULTORIA ,
9,CORELDRAW,"30:00:00",CORELDRAW,
10,DASHBOARD,"20:00:00",DASHBOARD,
11,DIGITAÇÃO,"40:00:00",DIGITAÇÃO,
12,DIGITAÇÃO E INTERNET,"50:00:00",DIGITAÇÃO E INTERNET,
13,DREAMWAVER,"18:00:00",DREAMWAVER,
14,EXCEL AVANÇADO ,"20:00:00",EXCEL AVANÇADO ,
15,EXCEL BÁSICO / AVANÇADO,"34:00:00",BÁSICO + INTERMEDIÁRIO / AVANÇADO,
16,EXCEL BÁSICO + INTERMEDIÁRIO,"14:00:00",BÁSICO + INTERMEDIÁRIO,
17,EXCEL VBA,"20:00:00",BÁSICO + INTERMEDIÁRIO,
18,FLASH,"20:00:00",FLASH,
19,HTML,"12:00:00",HTML,
20,ILLUSTRATTOR,"30:00:00",ILLUSTRATTOR,
21,INDESIGN,"14:00:00",INDESIGN,
22,INTERNET,"10:00:00",INTERNET,
23,LÓGICA DE PROGRAMAÇÃO,"20:00:00",BÁSICO + INTERMEDIÁRIO ,
24,MANUTENÇÃO DE MICRO,"30:00:00",MANUTENÇÃO DE MICRO,
25,MS PROJECT ,"20:00:00",MS PROJECT ,
26,OFFICE 3ª IDADE + CONSULTORIA,"64:00:00",WINDOWS + WORD + INTERNET + CONSULTORIA,
27,OFFICE 3ª IDADE,"54:00:00",WINDOWS + WORD + INTERNET,
28,OFFICE AVANÇADO,"48:00:00",(WORD + EXCEL + POWERPOINT) AVANÇADO,
29,OFFICE AVANÇADO + POWER BI,"68:00:00",(WORD + EXCEL + POWERPOINT) AVANÇADO + POWER BI,
30,OFFICE BÁSICO + INTERMEDIÁRIO,"54:00:00",WINDOWS + WORD + EXCEL + POWERPOINT + INTERNET,
31,PACOTE PERSONALIZADO 10H,"10:00:00",PACOTE PERSONALIZADO 10H,60.0
32,PACOTE PERSONALIZADO 5H,"05:00:00",PACOTE PERSONALIZADO 5H,
33,PHOTOSHOP,"20:00:00",PHOTOSHOP,
34,POWER BI,"60:00:00",POWER BI,60.0
35,POWERPOINT,"06:00:00",POWERPOINT,
36,POWERPOINT AVANÇADO,"10:00:00",POWERPOINT AVANÇADO,
37,PROGRAMAÇÃO,"100:00:00",LÓGICA PROGRAMAÇÃO + JAVA I + SQL + JAVA II,
38,REDES E SEGURANÇA,"30:00:00",REDES E SEGURANÇA,
39,REVIT,"24:00:00",REVIT,
40,SISTEMA OPERACIONAL + INTERNET,"20:00:00",SISTEMA OPERACIONAL + INTERNET,
41,SKETCHUP,"20:00:00",SKETCHUP,
42,WEB DESING,"70:00:00",WEB DESING,
43,WINDOWS,"12:00:00",WINDOWS,
44,WORD,"12:00:00",WORD,
45,WORD + EXCEL,"26:00:00",(WORD + EXCEL) BÁSICO + INTERMEDIÁRIO,
46,WORD AVANÇADO,"18:00:00",WORD AVANÇADO,
47,DESENVOLVIMENTO DE JOGOS,"30:00:00",BÁSICO + INTERMEDIÁRIO,
48,JAVA I,"00:00:23",JAVA I,56.9
49,DEV,"23:45:00",DEV 1,23.0
